metabolite	outcome	nsnp	b	se	OR	lower_ci	upper_ci	pval	direction	UKB_label	UKB_name	UKB_name2	UKB_unit	UKB_class	UKB_subclass	UKB_subclass_unit	UKB_derived
svldltgpct	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	70	0.623443170581886	0.23310332844403	1.86533968004149	1.18123517186864	2.94563877270345	0.0074832811320567	+	svldltgpct	S_VLDL_TG_pct	Triglycerides to total lipids ratio in small VLDL	%	Relative lipoprotein lipid concentrations	Small VLDL ratios		yes
lhdlcepct	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	84	-0.437681755758451	0.221231979284996	0.645531186754182	0.418408757653174	0.995941182994264	0.0478854300067146	-	lhdlcepct	L_HDL_CE_pct	Cholesteryl esters to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
svldlfc	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	69	-0.567128703778986	0.1685725683264	0.567151563179906	0.407574745859822	0.789207130434035	0.00076738059728084	-	svldlfc	S_VLDL_FC	Free cholesterol in small VLDL	mmol/l	Lipoprotein subclasses	Small VLDL	average diameter 36.8 nm	no
shdltgpct	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	94	0.392478679132612	0.196393555081499	1.48064629628117	1.00757586391278	2.17582966524982	0.045670113281427	+	shdltgpct	S_HDL_TG_pct	Triglycerides to total lipids ratio in small HDL	%	Relative lipoprotein lipid concentrations	Small HDL ratios		yes
apob	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	60	-0.727718542154262	0.22459657849693	0.483009700271077	0.311010739262555	0.750129629314842	0.00119481875850178	-	apob	ApoB	Apolipoprotein B	g/l	Apolipoproteins	Apolipoproteins		no
sldll	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	56	-0.79967253983997	0.211000209483397	0.449476125545155	0.297234779104151	0.679694307792604	0.000150699761173422	-	sldll	S_LDL_L	Total lipids in small LDL	mmol/l	Lipoprotein subclasses	Small LDL	average diameter 18.7 nm	no
apobbyapoa1	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	72	-0.408032649976545	0.204672138318344	0.664957167632042	0.445218528941881	0.993148321648016	0.0461967071595456	-	apobbyapoa1	ApoB_by_ApoA1	Ratio of apolipoprotein B to apolipoprotein A1	ratio	Apolipoproteins	Apolipoproteins		no
val	Endometrial cancer (endometrioid histology) || id:ebi-a-GCST006465	24	-0.218675715552052	0.109947620844596	0.803582265136907	0.647800142410714	0.996826667001797	0.0467113456704787	-	val	Val	Valine	mmol/l	Amino acids	Branched-chain amino acids		no
xsvldlfc	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	67	-0.456306265751993	0.206587481697998	0.633619751349533	0.422647098825029	0.949903573019553	0.0271899576133087	-	xsvldlfc	XS_VLDL_FC	Free cholesterol in very small VLDL	mmol/l	Lipoprotein subclasses	Very small VLDL	average diameter 31.3 nm	no
hdltg	Endometrial cancer (endometrioid histology) || id:ebi-a-GCST006465	73	0.196570686661203	0.0959128514048309	1.2172213591511	1.00861842451385	1.46896765036569	0.0404160001188417	+	hdltg	HDL_TG	Triglycerides in HDL	mmol/l	Triglycerides	Triglycerides		no
svldlce	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	85	-0.374904537831382	0.177712133606192	0.687354892047736	0.485187279296369	0.973761612850039	0.0348913590104864	-	svldlce	S_VLDL_CE	Cholesteryl esters in small VLDL	mmol/l	Lipoprotein subclasses	Small VLDL	average diameter 36.8 nm	no
xsvldlplpct	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	62	0.516674537121711	0.210046667541278	1.67644341941101	1.11069180478567	2.53037118521715	0.0139011243548642	+	xsvldlplpct	XS_VLDL_PL_pct	Phospholipids to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
mldll	Endometrial cancer (Non-endometrioid histology) || id:ebi-a-GCST006466	52	-0.563068165797664	0.247022307079967	0.569459185566873	0.350907758035105	0.924128226295994	0.0226419714468136	-	mldll	M_LDL_L	Total lipids in medium LDL	mmol/l	Lipoprotein subclasses	Medium LDL	average diameter 23 nm	no
