id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	metabolite	UKB_label	UKB_name	ng_anno_label	INTERVAL_label	UKB_name2	UKB_unit	UKB_class	UKB_subclass	UKB_subclass_unit	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label3	ng_anno_label.no.units	INTERVAL_doc_name	INTERVAL_abbr_to_use	INTERVAL_full_name	UKB_derived	ng_anno_derived
BMI	1HAEE1	S_HDL_FC_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.127488779217821	0.11976494054146	0.288082369360096	shdlfc	shdlfc	S_HDL_FC	shdlfc	shdlfc	Free cholesterol in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	S-HDL-FC	S-HDL-FC	Free cholesterol in small HDL	no	no
BMI	1IYJIk	XS_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.541762533282783	0.157518361394399	0.000678236152804869	xsvldlcepct	xsvldlcepct	XS_VLDL_CE_pct	xsvldlcepct	xsvldlce_	Cholesteryl esters to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XS-VLDL-CE_%	XS-VLDL-CE_percent	Cholesterol esters to total lipids ratio in very small VLDL	yes	yes
BMI	1IYJIk	XS_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.297820172148604	0.036765865761589	5.4754859109725e-16	xsvldlcepct	xsvldlcepct	XS_VLDL_CE_pct	xsvldlcepct	xsvldlce_	Cholesteryl esters to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XS-VLDL-CE_%	XS-VLDL-CE_percent	Cholesterol esters to total lipids ratio in very small VLDL	yes	yes
BMI	1IYJIk	XS_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.303336176412853	0.0362329663613521	5.67310225458181e-17	xsvldlcepct	xsvldlcepct	XS_VLDL_CE_pct	xsvldlcepct	xsvldlce_	Cholesteryl esters to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XS-VLDL-CE_%	XS-VLDL-CE_percent	Cholesterol esters to total lipids ratio in very small VLDL	yes	yes
BMI	1IYJIk	XS_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.352554055146306	0.129414893863816	0.00687743737984819	xsvldlcepct	xsvldlcepct	XS_VLDL_CE_pct	xsvldlcepct	xsvldlce_	Cholesteryl esters to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XS-VLDL-CE_%	XS-VLDL-CE_percent	Cholesterol esters to total lipids ratio in very small VLDL	yes	yes
BMI	1PA0ne	XXL_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.11300017582295	0.12086895733025	0.350701599957061	xxlvldlcepct	xxlvldlcepct	XXL_VLDL_CE_pct	xxlvldlcepct	xxlvldlce_	Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XXL-VLDL-CE_%	XXL-VLDL-CE_percent	Cholesterol esters to total lipids ratio in chylomicrons and extremely large VLDL	yes	yes
BMI	1PA0ne	XXL_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.0895071500780753	0.0358056938631789	0.0124262687303314	xxlvldlcepct	xxlvldlcepct	XXL_VLDL_CE_pct	xxlvldlcepct	xxlvldlce_	Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XXL-VLDL-CE_%	XXL-VLDL-CE_percent	Cholesterol esters to total lipids ratio in chylomicrons and extremely large VLDL	yes	yes
BMI	1PA0ne	XXL_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.0827172076204629	0.0276861664996321	0.00281110296528851	xxlvldlcepct	xxlvldlcepct	XXL_VLDL_CE_pct	xxlvldlcepct	xxlvldlce_	Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XXL-VLDL-CE_%	XXL-VLDL-CE_percent	Cholesterol esters to total lipids ratio in chylomicrons and extremely large VLDL	yes	yes
BMI	1PA0ne	XXL_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.138780447832204	0.13879842064768	0.318292223535325	xxlvldlcepct	xxlvldlcepct	XXL_VLDL_CE_pct	xxlvldlcepct	xxlvldlce_	Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	XXL-VLDL-CE_%	XXL-VLDL-CE_percent	Cholesterol esters to total lipids ratio in chylomicrons and extremely large VLDL	yes	yes
BMI	299Ytl	L_VLDL_C_pct_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.07398262288474	0.130904504722086	0.572445268701294	lvldlcpct	lvldlcpct	L_VLDL_C_pct	lvldlcpct	lvldlc_	Cholesterol to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	L-VLDL-CE	L-VLDL-CE	Cholesterol esters in large VLDL	yes	yes
BMI	299Ytl	L_VLDL_C_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.106112099180789	0.0341619236463442	0.00189539789850603	lvldlcpct	lvldlcpct	L_VLDL_C_pct	lvldlcpct	lvldlc_	Cholesterol to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	L-VLDL-CE	L-VLDL-CE	Cholesterol esters in large VLDL	yes	yes
BMI	299Ytl	L_VLDL_C_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.137665185781265	0.0299862557402912	4.41248200038061e-06	lvldlcpct	lvldlcpct	L_VLDL_C_pct	lvldlcpct	lvldlc_	Cholesterol to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	L-VLDL-CE	L-VLDL-CE	Cholesterol esters in large VLDL	yes	yes
BMI	299Ytl	L_VLDL_C_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.0325469428429392	0.118420357535351	0.783653052606834	lvldlcpct	lvldlcpct	L_VLDL_C_pct	lvldlcpct	lvldlc_	Cholesterol to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	L-VLDL-CE	L-VLDL-CE	Cholesterol esters in large VLDL	yes	yes
BMI	2DbCeT	XL_HDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	0.383122051327479	0.146675851011204	0.00952000043551846	xlhdltgpct	xlhdltgpct	XL_HDL_TG_pct	xlhdltgpct	xlhdltg_	Triglycerides to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		Triglycerides in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	XL-HDL-TG_%	XL-HDL-TG_percent	Triglycerides to total lipids ratio in very large HDL	yes	yes
BMI	2DbCeT	XL_HDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	0.295285564797746	0.0354913447083196	8.80139967315715e-17	xlhdltgpct	xlhdltgpct	XL_HDL_TG_pct	xlhdltgpct	xlhdltg_	Triglycerides to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		Triglycerides in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	XL-HDL-TG_%	XL-HDL-TG_percent	Triglycerides to total lipids ratio in very large HDL	yes	yes
BMI	2DbCeT	XL_HDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	0.285495855887806	0.0336125559794697	2.00114991381316e-17	xlhdltgpct	xlhdltgpct	XL_HDL_TG_pct	xlhdltgpct	xlhdltg_	Triglycerides to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		Triglycerides in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	XL-HDL-TG_%	XL-HDL-TG_percent	Triglycerides to total lipids ratio in very large HDL	yes	yes
BMI	2DbCeT	XL_HDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	0.281781541559572	0.121064521425468	0.0206961795990993	xlhdltgpct	xlhdltgpct	XL_HDL_TG_pct	xlhdltgpct	xlhdltg_	Triglycerides to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		Triglycerides in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	XL-HDL-TG_%	XL-HDL-TG_percent	Triglycerides to total lipids ratio in very large HDL	yes	yes
BMI	2EGlOU	L_LDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.257621039208664	0.133156837394641	0.0541012453563097	lldlcepct	lldlcepct	L_LDL_CE_pct	lldlcepct	lldlce_	Cholesteryl esters to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		 Cholesterol esters in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	L-LDL-CE_%	L-LDL-CE_percent	Cholesterol esters to total lipids ratio in large LDL	yes	yes
BMI	2EGlOU	L_LDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.0928856752609795	0.0360430811300521	0.0099640712666313	lldlcepct	lldlcepct	L_LDL_CE_pct	lldlcepct	lldlce_	Cholesteryl esters to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		 Cholesterol esters in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	L-LDL-CE_%	L-LDL-CE_percent	Cholesterol esters to total lipids ratio in large LDL	yes	yes
BMI	2EGlOU	L_LDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.147606530707353	0.0305311971833125	1.3340473481952e-06	lldlcepct	lldlcepct	L_LDL_CE_pct	lldlcepct	lldlce_	Cholesteryl esters to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		 Cholesterol esters in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	L-LDL-CE_%	L-LDL-CE_percent	Cholesterol esters to total lipids ratio in large LDL	yes	yes
BMI	2EGlOU	L_LDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.0307144940629103	0.118826510739439	0.796237239246149	lldlcepct	lldlcepct	L_LDL_CE_pct	lldlcepct	lldlce_	Cholesteryl esters to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		 Cholesterol esters in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	L-LDL-CE_%	L-LDL-CE_percent	Cholesterol esters to total lipids ratio in large LDL	yes	yes
BMI	2Spvbg	M_HDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.414170104968519	0.142403292278051	0.00394392359281561	mhdlcepct	mhdlcepct	M_HDL_CE_pct	mhdlcepct	mhdlce_	Cholesteryl esters to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		Cholesterol esters in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	M-HDL-CE_%	M-HDL-CE_percent	Cholesterol esters to total lipids ratio in medium HDL	yes	yes
BMI	2Spvbg	M_HDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.24955052457389	0.0361219983278072	4.89642638740141e-12	mhdlcepct	mhdlcepct	M_HDL_CE_pct	mhdlcepct	mhdlce_	Cholesteryl esters to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		Cholesterol esters in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	M-HDL-CE_%	M-HDL-CE_percent	Cholesterol esters to total lipids ratio in medium HDL	yes	yes
BMI	2Spvbg	M_HDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.267158489047048	0.0326736291655555	2.92017652628912e-16	mhdlcepct	mhdlcepct	M_HDL_CE_pct	mhdlcepct	mhdlce_	Cholesteryl esters to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		Cholesterol esters in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	M-HDL-CE_%	M-HDL-CE_percent	Cholesterol esters to total lipids ratio in medium HDL	yes	yes
BMI	2Spvbg	M_HDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.259484887367156	0.128107791035096	0.0438238167858781	mhdlcepct	mhdlcepct	M_HDL_CE_pct	mhdlcepct	mhdlce_	Cholesteryl esters to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		Cholesterol esters in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	M-HDL-CE_%	M-HDL-CE_percent	Cholesterol esters to total lipids ratio in medium HDL	yes	yes
BMI	2VBmHT	L_VLDL_P_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	0.127914481482525	0.149389987559014	0.392644510610783	lvldlp	lvldlp	L_VLDL_P	lvldlp	lvldlp	Concentration of large VLDL particles	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles	no	no
BMI	2VBmHT	L_VLDL_P_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	0.188471756109337	0.0355803454986495	1.17672418115065e-07	lvldlp	lvldlp	L_VLDL_P	lvldlp	lvldlp	Concentration of large VLDL particles	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles	no	no
BMI	2VBmHT	L_VLDL_P_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	0.188224975196171	0.0342167311429108	3.77722277059656e-08	lvldlp	lvldlp	L_VLDL_P	lvldlp	lvldlp	Concentration of large VLDL particles	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles	no	no
BMI	2VBmHT	L_VLDL_P_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	0.0444023599544314	0.123656601825077	0.719824878799462	lvldlp	lvldlp	L_VLDL_P	lvldlp	lvldlp	Concentration of large VLDL particles	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles	no	no
BMI	3DD6bl	Total_PL_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.316230655840304	0.132805418525021	0.0179732276842776	totalpl	totalpl	Total_PL	NA	NA	Total phospholipids in lipoprotein particles	mmol/l	Phospholipids	Phospholipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
BMI	3DD6bl	Total_PL_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.149365417695595	0.0356714392632873	2.82348358446178e-05	totalpl	totalpl	Total_PL	NA	NA	Total phospholipids in lipoprotein particles	mmol/l	Phospholipids	Phospholipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
BMI	3DD6bl	Total_PL_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.165310429469151	0.0304889715637383	5.89442585958938e-08	totalpl	totalpl	Total_PL	NA	NA	Total phospholipids in lipoprotein particles	mmol/l	Phospholipids	Phospholipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
BMI	3DD6bl	Total_PL_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.156269121083625	0.115906454776846	0.178742847721753	totalpl	totalpl	Total_PL	NA	NA	Total phospholipids in lipoprotein particles	mmol/l	Phospholipids	Phospholipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
BMI	3flcWY	LDL_C_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.361945020599869	0.182283947869888	0.0481188882178488	ldlc	ldlc	LDL_C	ldlc	ldlc	LDL cholesterol	mmol/l	Cholesterol	Cholesterol		Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	LDL-C	LDL-C	Total cholesterol in LDL	no	no
BMI	3flcWY	LDL_C_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.0882854835747016	0.0349577838628875	0.0115537539838141	ldlc	ldlc	LDL_C	ldlc	ldlc	LDL cholesterol	mmol/l	Cholesterol	Cholesterol		Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	LDL-C	LDL-C	Total cholesterol in LDL	no	no
BMI	3flcWY	LDL_C_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.129271234683312	0.0418767047177073	0.00202222565616626	ldlc	ldlc	LDL_C	ldlc	ldlc	LDL cholesterol	mmol/l	Cholesterol	Cholesterol		Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	LDL-C	LDL-C	Total cholesterol in LDL	no	no
BMI	3flcWY	LDL_C_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.0105719308572194	0.132697833471435	0.936560939193892	ldlc	ldlc	LDL_C	ldlc	ldlc	LDL cholesterol	mmol/l	Cholesterol	Cholesterol		Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	LDL-C	LDL-C	Total cholesterol in LDL	no	no
