exposure	metabolite	nsnp	b	se	pval	direction	UKB_label	UKB_name	UKB_name2	UKB_unit	UKB_class	UKB_subclass	UKB_subclass_unit	UKB_derived
BMI	idlfcpct	264	-0.142963248604701	0.0276335322324197	2.29697060256321e-07	-	idlfcpct	IDL_FC_pct	Free cholesterol to total lipids ratio in IDL	%	Relative lipoprotein lipid concentrations	IDL ratios		yes
BMI	ldlfc	264	-0.183420047051857	0.0433175489155608	2.29251774463875e-05	-	ldlfc	LDL_FC	Free cholesterol in LDL	mmol/l	Free cholesterol	Free cholesterol		no
BMI	la	264	-0.175763192373256	0.0322792716774223	5.17823260398379e-08	-	la	LA	Linoleic acid	mmol/l	Fatty acids	Fatty acids		no
BMI	gln	264	-0.121757247144564	0.0276094395237452	1.03377209308589e-05	-	gln	Gln	Glutamine	mmol/l	Amino acids	Amino acids		no
BMI	cholines	264	-0.192059866618914	0.0291505352728935	4.44131661258056e-11	-	cholines	Cholines	Total cholines	mmol/l	Other lipids	Other lipids		no
BMI	mvldlplpct	264	-0.209283282401421	0.0374121147473253	2.21899944157444e-08	-	mvldlplpct	M_VLDL_PL_pct	Phospholipids to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
BMI	mldlcepct	264	0.126371957601412	0.0303585010085569	3.14568850485731e-05	+	mldlcepct	M_LDL_CE_pct	Cholesteryl esters to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		yes
BMI	lhdlplpct	264	0.420544742781799	0.0319065717124572	1.13626961695001e-39	+	lhdlplpct	L_HDL_PL_pct	Phospholipids to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
BMI	xsvldltg	264	0.157784289398803	0.0316505748067693	6.18993308646293e-07	+	xsvldltg	XS_VLDL_TG	Triglycerides in very small VLDL	mmol/l	Lipoprotein subclasses	Very small VLDL	average diameter 31.3 nm	no
BMI	xlvldlce	264	0.144918307085276	0.0355667243683241	4.61039071053482e-05	+	xlvldlce	XL_VLDL_CE	Cholesteryl esters in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
BMI	lvldltg	264	0.181090389450378	0.0331284797842119	4.5951225451824e-08	+	lvldltg	L_VLDL_TG	Triglycerides in large VLDL	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	no
BMI	omega6pct	264	-0.283079591503099	0.0290912434713473	2.22945006980412e-22	-	omega6pct	Omega_6_pct	Ratio of omega-6 fatty acids to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
BMI	vldlsize	264	0.233521624081321	0.0330651486333819	1.63568501639398e-12	+	vldlsize	VLDL_size	Average diameter for VLDL particles	nm	Lipoprotein particle sizes	Lipoprotein particle sizes		no
BMI	sldltg	264	0.14914407200448	0.0332595539735448	7.31716911565991e-06	+	sldltg	S_LDL_TG	Triglycerides in small LDL	mmol/l	Lipoprotein subclasses	Small LDL	average diameter 18.7 nm	no
BMI	mvldltg	264	0.151299839082781	0.0336193251029579	6.78311332676616e-06	+	mvldltg	M_VLDL_TG	Triglycerides in medium VLDL	mmol/l	Lipoprotein subclasses	Medium VLDL	average diameter 44.5 nm	no
BMI	mldlcpct	264	-0.170252608377934	0.026420340084514	1.16366917241878e-10	-	mldlcpct	M_LDL_C_pct	Cholesterol to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		yes
BMI	xlhdlce	264	-0.417290615438071	0.0330698958729024	1.67091016503494e-36	-	xlhdlce	XL_HDL_CE	Cholesteryl esters in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
BMI	lldlc	264	-0.170405415794282	0.0419043685020987	4.77181292243876e-05	-	lldlc	L_LDL_C	Cholesterol in large LDL	mmol/l	Lipoprotein subclasses	Large LDL	average diameter 25.5 nm	no
BMI	xxlvldlcpct	264	-0.107072903883209	0.0257224671318562	3.14614146660519e-05	-	xxlvldlcpct	XXL_VLDL_C_pct	Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		yes
BMI	idlc	264	-0.202837349732506	0.0400045407461357	3.97067741986271e-07	-	idlc	IDL_C	Cholesterol in IDL	mmol/l	Lipoprotein subclasses	IDL	average diameter 28.6 nm	no
BMI	lvldlc	264	0.154315333543638	0.0345556808485457	7.98070581362042e-06	+	lvldlc	L_VLDL_C	Cholesterol in large VLDL	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	no
BMI	xxlvldlp	264	0.22493081256615	0.0320335732704248	2.19151901988775e-12	+	xxlvldlp	XXL_VLDL_P	Concentration of chylomicrons and extremely large VLDL particles	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
BMI	mhdlce	264	-0.222925810524309	0.0338920745469376	4.78358359632447e-11	-	mhdlce	M_HDL_CE	Cholesteryl esters in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
BMI	lhdltgpct	264	0.254973797972639	0.0333058312082126	1.92516239846268e-14	+	lhdltgpct	L_HDL_TG_pct	Triglycerides to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
BMI	pyruvate	264	0.0978727064753631	0.0245227133427569	6.57663494500558e-05	+	pyruvate	Pyruvate	Pyruvate	mmol/l	Glycolysis related metabolites	Glycolysis related metabolites		no
BMI	mvldlcepct	264	-0.285931253293307	0.0361014811364122	2.37112871791587e-15	-	mvldlcepct	M_VLDL_CE_pct	Cholesteryl esters to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
BMI	lvldlpl	264	0.202318529254261	0.034272661986175	3.56508105598563e-09	+	lvldlpl	L_VLDL_PL	Phospholipids in large VLDL	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	no
BMI	totalc	264	-0.207134565397664	0.0371796397199637	2.53015834875991e-08	-	totalc	Total_C	Total cholesterol	mmol/l	Cholesterol	Cholesterol		no
BMI	totalfc	264	-0.171204914083161	0.0370230204401988	3.75896857128085e-06	-	totalfc	Total_FC	Total free cholesterol	mmol/l	Free cholesterol	Free cholesterol		no
BMI	xlvldltgpct	264	0.225938294876833	0.0322915610563784	2.61834163977173e-12	+	xlvldltgpct	XL_VLDL_TG_pct	Triglycerides to total lipids ratio in very large VLDL	%	Relative lipoprotein lipid concentrations	Very large VLDL ratios		yes
BMI	hdlsize	264	-0.369801821948685	0.0340203825564438	1.60187246420971e-27	-	hdlsize	HDL_size	Average diameter for HDL particles	nm	Lipoprotein particle sizes	Lipoprotein particle sizes		no
BMI	totalce	264	-0.220016693573016	0.0371712006347256	3.23886053141799e-09	-	totalce	Total_CE	Total esterified cholesterol	mmol/l	Cholesteryl esters	Cholesteryl esters		no
BMI	mhdlfcpct	264	-0.380694177875642	0.033947016076767	3.46671441740656e-29	-	mhdlfcpct	M_HDL_FC_pct	Free cholesterol to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
BMI	mhdlplpct	264	0.393467210655869	0.0331670749530656	1.83841860266272e-32	+	mhdlplpct	M_HDL_PL_pct	Phospholipids to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
BMI	mhdlcepct	264	-0.267158489047048	0.0326736291655555	2.92017652628912e-16	-	mhdlcepct	M_HDL_CE_pct	Cholesteryl esters to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
BMI	shdltgpct	264	0.256241657215935	0.034028038151424	5.06202129113008e-14	+	shdltgpct	S_HDL_TG_pct	Triglycerides to total lipids ratio in small HDL	%	Relative lipoprotein lipid concentrations	Small HDL ratios		yes
BMI	lhdlp	264	-0.391367013325714	0.0338116205109823	5.52187326192496e-31	-	lhdlp	L_HDL_P	Concentration of large HDL particles	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
BMI	mhdlfc	264	-0.239262786862917	0.0324996753303762	1.81167575131248e-13	-	mhdlfc	M_HDL_FC	Free cholesterol in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
BMI	xsvldlplpct	264	0.242376671225154	0.0290919532277393	7.98925507603257e-17	+	xsvldlplpct	XS_VLDL_PL_pct	Phospholipids to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
BMI	xxlvldlce	264	0.213091103101652	0.0329833934754083	1.04318091378241e-10	+	xxlvldlce	XXL_VLDL_CE	Cholesteryl esters in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
BMI	mhdlpl	264	-0.125684089995455	0.0333106727688871	0.000161239571951812	-	mhdlpl	M_HDL_PL	Phospholipids in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
BMI	acetoacetate	264	0.0896997144005749	0.0237264309754667	0.00015646226718388	+	acetoacetate	Acetoacetate	Acetoacetate	mmol/l	Ketone bodies	Ketone bodies		no
BMI	ile	264	0.225452145910257	0.0249630809149814	1.69453550247745e-19	+	ile	Ile	Isoleucine	mmol/l	Amino acids	Branched-chain amino acids		no
BMI	xxlvldlplpct	264	0.144496244925427	0.0291397433662763	7.09539293511445e-07	+	xxlvldlplpct	XXL_VLDL_PL_pct	Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		yes
BMI	hdlpl	264	-0.237628463259784	0.0333188940135964	9.89616359149832e-13	-	hdlpl	HDL_PL	Phospholipids in HDL	mmol/l	Phospholipids	Phospholipids		no
BMI	lhdlfcpct	264	-0.324919839264559	0.0368221257527096	1.10404671089498e-18	-	lhdlfcpct	L_HDL_FC_pct	Free cholesterol to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
BMI	xsvldltgpct	264	0.273707990750447	0.0364177881516826	5.65737231742355e-14	+	xsvldltgpct	XS_VLDL_TG_pct	Triglycerides to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
BMI	idll	264	-0.181465855885612	0.0392627856314968	3.80372683849081e-06	-	idll	IDL_L	Total lipids in IDL	mmol/l	Lipoprotein subclasses	IDL	average diameter 28.6 nm	no
BMI	lvldlfc	264	0.191014594597747	0.0346866504624178	3.65286545216584e-08	+	lvldlfc	L_VLDL_FC	Free cholesterol in large VLDL	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	no
BMI	sldltgpct	264	0.22791903623531	0.0361090942193447	2.75529472076851e-10	+	sldltgpct	S_LDL_TG_pct	Triglycerides to total lipids ratio in small LDL	%	Relative lipoprotein lipid concentrations	Small LDL ratios		yes
BMI	lldltgpct	264	0.282207888741856	0.0361781817350376	6.16626091445109e-15	+	lldltgpct	L_LDL_TG_pct	Triglycerides to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		yes
BMI	xsvldlfcpct	264	-0.117116990080133	0.0312797072854036	0.000180980749704871	-	xsvldlfcpct	XS_VLDL_FC_pct	Free cholesterol to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
BMI	totaltg	264	0.191063862033951	0.0330653299273882	7.54257363063208e-09	+	totaltg	Total_TG	Total triglycerides	mmol/l	Triglycerides	Triglycerides		no
BMI	unsaturation	264	-0.246242843219641	0.0289208449057267	1.67494962526626e-17	-	unsaturation	Unsaturation	Degree of unsaturation	degree	Fatty acids	Fatty acids		no
BMI	xxlvldlfcpct	264	-0.114058701170255	0.0253248653459943	6.67419230839392e-06	-	xxlvldlfcpct	XXL_VLDL_FC_pct	Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		yes
BMI	lhdll	264	-0.373216909378135	0.0340681494784482	6.2871604745648e-28	-	lhdll	L_HDL_L	Total lipids in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
BMI	xlvldlp	264	0.217652796106536	0.0339501490489844	1.44613163278543e-10	+	xlvldlp	XL_VLDL_P	Concentration of very large VLDL particles	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
BMI	ldlsize	264	-0.180569491729329	0.0279943410336517	1.1169228927256e-10	-	ldlsize	LDL_size	Average diameter for LDL particles	nm	Lipoprotein particle sizes	Lipoprotein particle sizes		no
BMI	mhdlc	264	-0.227489593553207	0.0336483524331509	1.37237135204862e-11	-	mhdlc	M_HDL_C	Cholesterol in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
BMI	creatinine	264	0.151368964868636	0.0288080709393285	1.48512375242234e-07	+	creatinine	Creatinine	Creatinine	mmol/l	Fluid balance	Fluid balance		no
BMI	xxlvldll	264	0.227131414779188	0.0316636477466443	7.32353370860856e-13	+	xxlvldll	XXL_VLDL_L	Total lipids in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
BMI	idlce	264	-0.202728721820151	0.0400313366979827	4.10009960342568e-07	-	idlce	IDL_CE	Cholesteryl esters in IDL	mmol/l	Lipoprotein subclasses	IDL	average diameter 28.6 nm	no
BMI	hdlfc	264	-0.330205694528529	0.0324440606125726	2.49403521369119e-24	-	hdlfc	HDL_FC	Free cholesterol in HDL	mmol/l	Free cholesterol	Free cholesterol		no
BMI	ldltg	264	0.127786682652333	0.0327579285374818	9.58202753252008e-05	+	ldltg	LDL_TG	Triglycerides in LDL	mmol/l	Triglycerides	Triglycerides		no
BMI	mvldlcpct	264	-0.279589402814491	0.036324361416938	1.39274109895431e-14	-	mvldlcpct	M_VLDL_C_pct	Cholesterol to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
BMI	phosphatidylc	264	-0.190082706762146	0.0285871471632505	2.94616967488106e-11	-	phosphatidylc	Phosphatidylc	Phosphatidylcholines	mmol/l	Other lipids	Other lipids		no
BMI	lldlcpct	264	-0.364059112196478	0.036854399453998	5.16983856508582e-23	-	lldlcpct	L_LDL_C_pct	Cholesterol to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		yes
BMI	sphingomyelins	264	-0.232253863688556	0.0345942462934739	1.89807694010816e-11	-	sphingomyelins	Sphingomyelins	Sphingomyelins	mmol/l	Other lipids	Other lipids		no
BMI	lldlplpct	264	0.155916971650452	0.0285355241622576	4.65627668226023e-08	+	lldlplpct	L_LDL_PL_pct	Phospholipids to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		yes
BMI	totalbcaa	264	0.245323485075069	0.0261267979267552	6.01562968025514e-21	+	totalbcaa	Total_BCAA	Total concentration of branched-chain amino acids	mmol/l	Amino acids	Branched-chain amino acids	leucine + isoleucine + valine	no
BMI	xsvldlce	264	-0.137419595564434	0.0341227386620465	5.64414841773837e-05	-	xsvldlce	XS_VLDL_CE	Cholesteryl esters in very small VLDL	mmol/l	Lipoprotein subclasses	Very small VLDL	average diameter 31.3 nm	no
BMI	xxlvldlfc	264	0.229025093960646	0.0322129814604876	1.16283439908595e-12	+	xxlvldlfc	XXL_VLDL_FC	Free cholesterol in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
BMI	xlvldlfcpct	264	-0.238679003565605	0.03103521530332	1.46462226285055e-14	-	xlvldlfcpct	XL_VLDL_FC_pct	Free cholesterol to total lipids ratio in very large VLDL	%	Relative lipoprotein lipid concentrations	Very large VLDL ratios		yes
BMI	hdlce	264	-0.329018949325919	0.0341122920395927	5.15243727479965e-22	-	hdlce	HDL_CE	Cholesteryl esters in HDL	mmol/l	Cholesteryl esters	Cholesteryl esters		no
BMI	pufabymufa	264	-0.345315145552087	0.0314233388618046	4.31062614360873e-28	-	pufabymufa	PUFA_by_MUFA	Ratio of polyunsaturated fatty acids to monounsaturated fatty acids	ratio	Fatty acids	Fatty acid ratios		yes
BMI	svldltg	264	0.171492761283828	0.0332298810942705	2.45897128238961e-07	+	svldltg	S_VLDL_TG	Triglycerides in small VLDL	mmol/l	Lipoprotein subclasses	Small VLDL	average diameter 36.8 nm	no
BMI	idlcepct	264	-0.210385809103208	0.0349169069986895	1.68767258838274e-09	-	idlcepct	IDL_CE_pct	Cholesteryl esters to total lipids ratio in IDL	%	Relative lipoprotein lipid concentrations	IDL ratios		yes
BMI	shdlfcpct	264	-0.356392747983002	0.0359668530002341	3.80731095029176e-23	-	shdlfcpct	S_HDL_FC_pct	Free cholesterol to total lipids ratio in small HDL	%	Relative lipoprotein lipid concentrations	Small HDL ratios		yes
BMI	glyca	264	0.284546706485284	0.0294786052713808	4.79008273477684e-22	+	glyca	GlycA	Glycoprotein acetyls	mmol/l	Inflammation	Inflammation		no
BMI	vldll	264	0.142718700701925	0.0342230241983014	3.04260443801915e-05	+	vldll	VLDL_L	Total lipids in VLDL	mmol/l	Total lipids	Total lipids		no
BMI	xxlvldltg	264	0.217962856958427	0.0308080204797625	1.49584826411456e-12	+	xxlvldltg	XXL_VLDL_TG	Triglycerides in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
BMI	lldlfc	264	-0.209234675415087	0.0423355739761057	7.72103316285339e-07	-	lldlfc	L_LDL_FC	Free cholesterol in large LDL	mmol/l	Lipoprotein subclasses	Large LDL	average diameter 25.5 nm	no
BMI	mhdlcpct	264	-0.316424179608697	0.0337705242024541	7.26472276627882e-21	-	mhdlcpct	M_HDL_C_pct	Cholesterol to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
BMI	mhdltgpct	264	0.243928057400248	0.0334215893470616	2.90955495718779e-13	+	mhdltgpct	M_HDL_TG_pct	Triglycerides to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
BMI	totalpl	264	-0.165310429469151	0.0304889715637383	5.89442585958938e-08	-	totalpl	Total_PL	Total phospholipids in lipoprotein particles	mmol/l	Phospholipids	Phospholipids		no
BMI	xlhdlplpct	264	-0.280355012287528	0.0344490856609426	4.01057011698609e-16	-	xlhdlplpct	XL_HDL_PL_pct	Phospholipids to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
BMI	lhdlcpct	264	-0.391681668131073	0.0339847808313151	9.84740921825205e-31	-	lhdlcpct	L_HDL_C_pct	Cholesterol to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
BMI	xlhdlc	264	-0.410519622350654	0.032939017856742	1.18786289148766e-35	-	xlhdlc	XL_HDL_C	Cholesterol in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
BMI	lvldll	264	0.181800119545706	0.0339709831729172	8.71656700450573e-08	+	lvldll	L_VLDL_L	Total lipids in large VLDL	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	no
BMI	apoa1	264	-0.238179335158957	0.0322623695659298	1.55258026508592e-13	-	apoa1	ApoA1	Apolipoprotein A1	g/l	Apolipoproteins	Apolipoproteins		no
BMI	tyr	264	0.184300516004963	0.0251590826093624	2.38175023519786e-13	+	tyr	Tyr	Tyrosine	mmol/l	Amino acids	Aromatic amino acids		no
BMI	dha	264	-0.204615990072704	0.0275056213157873	1.01403626785983e-13	-	dha	DHA	Docosahexaenoic acid	mmol/l	Fatty acids	Fatty acids		no
BMI	vldltg	264	0.196403032808624	0.0332508562352086	3.49015747865186e-09	+	vldltg	VLDL_TG	Triglycerides in VLDL	mmol/l	Triglycerides	Triglycerides		no
BMI	lhdltg	264	-0.117633126563255	0.028158963335958	2.94774036497062e-05	-	lhdltg	L_HDL_TG	Triglycerides in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
BMI	lvldlp	264	0.188224975196171	0.0342167311429108	3.77722277059656e-08	+	lvldlp	L_VLDL_P	Concentration of large VLDL particles	mmol/l	Lipoprotein subclasses	Large VLDL	average diameter 53.6 nm	no
BMI	lhdlfc	264	-0.384021464767712	0.0334560949222196	1.69443135922461e-30	-	lhdlfc	L_HDL_FC	Free cholesterol in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
BMI	hdlc	264	-0.332289470429902	0.0338162022750158	8.67138165201919e-23	-	hdlc	HDL_C	HDL cholesterol	mmol/l	Cholesterol	Cholesterol		no
BMI	shdlcpct	264	-0.188423242254048	0.0356903673674424	1.29617166351951e-07	-	shdlcpct	S_HDL_C_pct	Cholesterol to total lipids ratio in small HDL	%	Relative lipoprotein lipid concentrations	Small HDL ratios		yes
BMI	mvldlfcpct	264	-0.250187800205164	0.036176420569355	4.65329199971231e-12	-	mvldlfcpct	M_VLDL_FC_pct	Free cholesterol to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
BMI	xlvldlcepct	264	-0.25356606111127	0.0323441203407154	4.51862021664773e-15	-	xlvldlcepct	XL_VLDL_CE_pct	Cholesteryl esters to total lipids ratio in very large VLDL	%	Relative lipoprotein lipid concentrations	Very large VLDL ratios		yes
BMI	mldltgpct	264	0.198622526650454	0.0353107587006099	1.85522919586298e-08	+	mldltgpct	M_LDL_TG_pct	Triglycerides to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		yes
BMI	mhdll	264	-0.167723242925458	0.0331950811571153	4.35713934127842e-07	-	mhdll	M_HDL_L	Total lipids in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
BMI	svldlplpct	264	-0.256303200816116	0.0399817966503169	1.45045691217282e-10	-	svldlplpct	S_VLDL_PL_pct	Phospholipids to total lipids ratio in small VLDL	%	Relative lipoprotein lipid concentrations	Small VLDL ratios		yes
BMI	hdlp	264	-0.193674428080891	0.0305141420613608	2.19499513143748e-10	-	hdlp	HDL_P	Concentration of HDL particles	mmol/l	Lipoprotein particle concentrations	Lipoprotein particle concentrations		no
BMI	mldltg	264	0.132260120408028	0.0336008768169762	8.27784091407897e-05	+	mldltg	M_LDL_TG	Triglycerides in medium LDL	mmol/l	Lipoprotein subclasses	Medium LDL	average diameter 23 nm	no
BMI	xlhdlcpct	264	0.147947462227072	0.033303884916675	8.89822958439079e-06	+	xlhdlcpct	XL_HDL_C_pct	Cholesterol to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
BMI	albumin	264	-0.229725446402886	0.0263103505503282	2.51602647824717e-18	-	albumin	Albumin	Albumin	g/l	Fluid balance	Fluid balance		no
BMI	phe	264	0.146160133101532	0.0236901906191457	6.84422612780154e-10	+	phe	Phe	Phenylalanine	mmol/l	Amino acids	Aromatic amino acids		no
BMI	omega6	264	-0.127312692946837	0.0323548310383682	8.32348962438439e-05	-	omega6	Omega_6	Omega-6 fatty acids	mmol/l	Fatty acids	Fatty acids		no
BMI	gly	264	-0.135917834081977	0.0286873001239393	2.15934114748736e-06	-	gly	Gly	Glycine	mmol/l	Amino acids	Amino acids		no
BMI	svldlcpct	264	-0.167894634476853	0.0389796181314157	1.65302994806279e-05	-	svldlcpct	S_VLDL_C_pct	Cholesterol to total lipids ratio in small VLDL	%	Relative lipoprotein lipid concentrations	Small VLDL ratios		yes
BMI	hdltg	264	0.118887333639332	0.0304689352779414	9.54328855212042e-05	+	hdltg	HDL_TG	Triglycerides in HDL	mmol/l	Triglycerides	Triglycerides		no
BMI	lldlfcpct	264	-0.304082281797198	0.0349100240090919	3.02650680370957e-18	-	lldlfcpct	L_LDL_FC_pct	Free cholesterol to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		yes
BMI	mhdltg	264	0.148385172004437	0.0310867299638099	1.81263842908154e-06	+	mhdltg	M_HDL_TG	Triglycerides in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
BMI	xlvldlc	264	0.169440673547458	0.0348411174654779	1.15480397132704e-06	+	xlvldlc	XL_VLDL_C	Cholesterol in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
BMI	hdll	264	-0.278609633014084	0.0331439582430724	4.24065375839221e-17	-	hdll	HDL_L	Total lipids in HDL	mmol/l	Total lipids	Total lipids		no
